,Name,title,source_count
4,John Bolton,security adviser,32
5,Eric Peterson,fire chief,8
16,Angela Merkel,chancellor,19
21,Justin Trudeau,prime minister,18
24,Theresa May,prime minister,10
29,Merkel,chancellor,4
36,Muhammad Safdar,capt,4
37,Edouard Philippe,prime minister,12
38,Maxine Waters,rep.,5
43,him,press secretary,6
46,Trump,producer,7
47,Trump,chief of staff,4
49,Trump,secretary of state,8
50,Trump,director,5
58,Jeremiah LaRue,lieutenant,4
59,Jeremiah LaRue,lt.,4
60,Jerry Brown,governor,12
61,Jerry Brown,governor,13
62,Jerry Brown,gov.,24
88,his,prime minister,7
103,his,police officer,4
104,his,mayor,5
118,Gao Feng,spokesman,4
123,Michael Floyd Wilson,investigator,4
124,Sean Smith,investigator,4
125,Smith,investigator,4
138,Nawaz Sharif,premier,4
139,Nawaz Sharif,prime minister,20
140,Sharif,prime minister,8
143,Alfredo del Mazo,gov.,6
144,Matteo Salvini,interior minister,7
145,Benjamin Netanyahu,prime minister,14
148,Rod Rosenstein,deputy attorney general,4
149,Jeff Sessions,attorney general,9
150,he,premier,4
153,he,premier,5
158,Mike Pompeo,secretary of state,48
159,Obama,curator,4
164,Curtis Hill,attorney general,16
165,Eric Holcomb,gov.,12
166,Mara Candelaria Reardon,state rep.,7
167,Anthony Bourdain,chef,4
168,she,congresswoman,9
173,Nicholas Klemm,deputy,4
174,Malcolm Turnbull,prime minister,6
179,Abu Shaima,spokesman,4
192,Carla Gleason,spokeswoman,13
193,Carla Gleason,maj.,14
194,Carla Gleason,spokeswoman,14
195,Jim Mattis,defense secretary,15
198,Cynthia O. Smith,spokeswoman,12
199,Cynthia O. Smith,spokeswoman,13
202,Alimuddin Ansari,trader,4
207,Brett McFadden,assistant commissioner,7
218,Paul Ryan,house speaker,6
221,Yoko Kamikawa,justice minister,7
222,Yoshihide Suga,cabinet secretary,5
223,Ronald Reagan,director,4
228,Melissa Jaffe,spokesman cpl.,4
229,Melissa Jaffe,cpl.,4
238,Jimoh Moshood,public relations officer,4
239,Ayman Safadi,foreign minister,9
240,Ibrahim Jabawi,spokesman,6
241,Ibrahim Jabawi,spokesman,7
242,Jabawi,spokesman,4
243,Jabawi,spokesman,5
246,Jerry Robinson,batman artist,4
247,John Hickenlooper,gov.,13
250,Gabrielle McLemore,communications director,6
251,Yogi Adityanath,chief minister,4
252,Nancy Pelosi,minority leader,6
253,Zakir Naik,preacher,6
254,Zakir Naik,preacher,7
255,Mahathir Mohamad,prime minister,11
258,Abiy Ahmed,prime minister,4
263,Rajnath Singh,home minister,6
264,John Roberts,chief justice,4
265,Andrew Cuomo,gov.,5
272,Dave Zaniboni,fire captain,4
273,Dave Zaniboni,capt.,8
282,Jesse Jackson,rev.,5
283,Couby Stilwell,capt.,4
284,Mohammad Javad Zarif,foreign minister,4
285,Kendal Bortisser,capt.,4
286,Narendra Modi,prime minister,21
289,John Kelly,chief of staff,8
290,Russel,assistant secretary of state,4
291,Shinzo Abe,prime minister,11
294,Sarah Huckabee Sanders,press secretary,8
295,Sushma Swaraj,affairs minister,9
302,Scott Tipton,rep.,6
303,Horst Seehofer,interior minister,5
306,Khomeini,supreme leader,5
323,Beni,spokesman captain,4
330,Boyko Borissov,prime minister,6
335,Alex Lubigan,vice mayor,9
352,Mohamed Hussein,capt.,8
353,Mohamed Hussein,police official major,8
354,Sergei Lavrov,foreign minister,4
355,Bartholomew,patriarch,6
356,Tawadros II,patriarch,6
357,Viktor Orban,prime minister,7
358,Mohamed Adam,paramedic,4
359,Har Kishore Rai,police officer,5
360,Alexander Lubigan,vice mayor,11
365,S. P. Vaid,police chief,6
374,Robert Wilkie,press secretary,6
377,Roger Stone,critic,4
386,Bredesen,gov.,7
389,Larry Combs,general manager,9
390,Marsha Blackburn,rep.,5
395,Phil Bredesen,gov.,11
398,Bruce Rauner,gov.,4
401,Antoine Bagenyi,lieutenant-colonel,4
402,Sikuli Mukosa,fisherman,4
403,Mak Hazukay,spokesman captain,4
408,Sharath Koppu,software engineer,4
413,Frist,surgeon,4
414,Jack Guy Lafontant,prime minister,6
